"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427198","4.4","7184","","","","0"
"2019/2020","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427198","4.4","7449","","","","0"
"2020/2021","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427198","4.4","7688","","","","0"
"2021/2022","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427198","4.4","7934","","","","0"
"2012/2013","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","12413","","","","0"
"2013/2014","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","12757","","","","0"
"2014/2015","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","13121","","","","0"
"2015/2016","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","13692","","","","0"
"2016/2017","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","14125","","","","0"
"2017/2018","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","14591","","","","0"
"2018/2019","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","15033","","","","0"
"2019/2020","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","15489","","","","0"
"2020/2021","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","15945","","","","0"
"2021/2022","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","16437","","","","0"
"2012/2013","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","5535","","","","0"
"2013/2014","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","5779","","","","0"
"2014/2015","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","5963","","","","0"
"2015/2016","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","6312","","","","0"
"2016/2017","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","6823","","","","0"
"2017/2018","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","7282","","","","0"
"2018/2019","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","7781","","","","0"
"2019/2020","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","8051","","","","0"
"2020/2021","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","8309","","","","0"
"2021/2022","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","8582","","","","0"
"2012/2013","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","6004","","","","0"
"2013/2014","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","6223","","","","0"
"2014/2015","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","6457","","","","0"
"2015/2016","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","6796","","","","0"
"2016/2017","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","7129","","","","0"
"2017/2018","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","7457","","","","0"
"2018/2019","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","7818","","","","0"
"2019/2020","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","8043","","","","0"
"2020/2021","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","8263","","","","0"
"2021/2022","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427201","4.7","8536","","","","0"
"2012/2013","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","5844","","","","0"
"2013/2014","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","6151","","","","0"
"2014/2015","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","6438","","","","0"
"2015/2016","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","6743","","","","0"
"2016/2017","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","7042","","","","0"
"2017/2018","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","7366","","","","0"
"2018/2019","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","7687","","","","0"
"2019/2020","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","7914","","","","0"
"2020/2021","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","8192","","","","0"
"2021/2022","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427202","4.8","8467","","","","0"
"2012/2013","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","6171","","","","0"
"2013/2014","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","6381","","","","0"
"2014/2015","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","6649","","","","0"
"2015/2016","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","7008","","","","0"
"2016/2017","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","8726","","","","0"
"2017/2018","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","9231","","","","0"
"2018/2019","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","9921","","","","0"
"2019/2020","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","10395","","","","0"
"2020/2021","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","10814","","","","0"
"2021/2022","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427203","4.9","11164","","","","0"
"2012/2013","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","5834","","","","0"
"2013/2014","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","6264","","","","0"
"2014/2015","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","6501","","","","0"
"2015/2016","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","6895","","","","0"
"2016/2017","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","7041","","","","0"
"2017/2018","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","7202","","","","0"
"2018/2019","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","7511","","","","0"
"2019/2020","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","7745","","","","0"
"2020/2021","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","7903","","","","0"
"2021/2022","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427189","4.10","8155","","","","0"
"2012/2013","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","5184","","","","0"
"2013/2014","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","5386","","","","0"
"2014/2015","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","5562","","","","0"
"2015/2016","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","5909","","","","0"
"2016/2017","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","6300","","","","0"
"2017/2018","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","6982","","","","0"
"2018/2019","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","7570","","","","0"
"2019/2020","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","7854","","","","0"
"2020/2021","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","8059","","","","0"
"2021/2022","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427190","4.11","8322","","","","0"
"2012/2013","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","16280","","","","0"
"2013/2014","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","16750","","","","0"
"2014/2015","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","18360","","","","0"
"2015/2016","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","19168","","","","0"
"2016/2017","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","22090","","","","0"
"2017/2018","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","24107","","","","0"
"2018/2019","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","24828","","","","0"
"2019/2020","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","25541","","","","0"
"2020/2021","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","26285","","","","0"
"2021/2022","Nova Scotia","2016A000212","Dentistry","Current dollars","75","units","0","v62427191","4.12","27095","","","","0"
"2012/2013","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","15225","","","","0"
"2013/2014","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","15717","","","","0"
"2014/2015","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","16569","","","","0"
"2015/2016","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","17180","","","","0"
"2016/2017","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","18489","","","","0"
"2017/2018","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","19459","","","","0"
"2018/2019","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","20057","","","","0"
"2019/2020","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","20690","","","","0"
"2020/2021","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","21333","","","","0"
"2021/2022","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427192","4.13","21993","","","","0"
"2012/2013","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","5847","","","","0"
"2013/2014","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","6090","","","","0"
"2014/2015","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","6307","","","","0"
"2015/2016","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","6641","","","","0"
"2016/2017","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","7035","","","","0"
"2017/2018","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","7391","","","","0"
"2018/2019","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","7811","","","","0"
"2019/2020","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","8339","","","","0"
"2020/2021","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","8631","","","","0"
"2021/2022","Nova Scotia","2016A000212","Nursing","Current dollars","75","units","0","v62427193","4.14","8923","","","","0"
"2012/2013","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","8342","","","","0"
"2013/2014","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","8588","","","","0"
"2014/2015","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","8883","","","","0"
"2015/2016","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","9285","","","","0"
"2016/2017","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","9992","","","","0"
"2017/2018","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","10731","","","","0"
"2018/2019","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","11428","","","","0"
"2019/2020","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","11789","","","","0"
"2020/2021","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","12757","","","","0"
"2021/2022","Nova Scotia","2016A000212","Pharmacy","Current dollars","75","units","0","v62427194","4.15","13162","","","","0"
"2018/2019","Nova Scotia","2016A000212","Veterinary medicine","Current dollars","75","units","0","v1073541832","4.16","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Veterinary medicine","Current dollars","75","units","0","v1073541832","4.16","","..","","","0"
"2020/2021","Nova Scotia","2016A000212","Veterinary medicine","Current dollars","75","units","0","v1073541832","4.16","","..","","","0"
"2021/2022","Nova Scotia","2016A000212","Veterinary medicine","Current dollars","75","units","0","v1073541832","4.16","","..","","","0"
"2018/2019","Nova Scotia","2016A000212","Optometry","Current dollars","75","units","0","v1073541833","4.20","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Optometry","Current dollars","75","units","0","v1073541833","4.20","","..","","","0"
"2020/2021","Nova Scotia","2016A000212","Optometry","Current dollars","75","units","0","v1073541833","4.20","","..","","","0"
"2021/2022","Nova Scotia","2016A000212","Optometry","Current dollars","75","units","0","v1073541833","4.20","","..","","","0"
"2012/2013","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","6215","","","","0"
"2013/2014","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","6456","","","","0"
"2014/2015","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","6694","","","","0"
"2015/2016","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","7069","","","","0"
"2016/2017","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","7385","","","","0"
"2017/2018","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","7608","","","","0"
"2018/2019","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","7976","","","","0"
"2019/2020","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","8244","","","","0"
"2020/2021","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","8494","","","","0"
"2021/2022","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427195","4.17","8770","","","","0"
"2017/2018","Nova Scotia","2016A000212","Personal, protective and transportation services","Current dollars","75","units","0","v1001399410","4.18","7370","","","","0"
"2018/2019","Nova Scotia","2016A000212","Personal, protective and transportation services","Current dollars","75","units","0","v1001399410","4.18","7800","","","","0"
"2019/2020","Nova Scotia","2016A000212","Personal, protective and transportation services","Current dollars","75","units","0","v1001399410","4.18","7270","","","","0"
"2020/2021","Nova Scotia","2016A000212","Personal, protective and transportation services","Current dollars","75","units","0","v1001399410","4.18","8280","","","","0"
"2021/2022","Nova Scotia","2016A000212","Personal, protective and transportation services","Current dollars","75","units","0","v1001399410","4.18","8529","","","","0"
"2012/2013","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","5940","","","","0"
"2013/2014","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","6112","","","","0"
"2014/2015","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","6298","","","","0"
"2015/2016","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","6379","","","","0"
"2016/2017","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","6714","","","","0"
"2017/2018","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","6908","","","","0"
"2018/2019","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","7108","","","","0"
"2019/2020","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","7595","","","","0"
"2020/2021","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","7740","","","","0"
"2021/2022","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414659","5.19","7983","","","","0"
"2012/2013","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","5646","","","","0"
"2013/2014","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","5832","","","","0"
"2014/2015","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","5958","","","","0"
"2015/2016","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","6047","","","","0"
"2016/2017","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","6308","","","","0"
"2017/2018","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","6529","","","","0"
"2018/2019","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","6795","","","","0"
"2019/2020","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","7648","","","","0"
"2020/2021","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","7500","","","","0"
"2021/2022","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427204","5.1","7851","","","","0"
"2012/2013","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","6272","","","","0"
"2013/2014","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","6485","","","","0"
"2014/2015","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","6692","","","","0"
"2015/2016","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","6624","","","","0"
"2016/2017","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","7004","","","","0"
"2017/2018","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","7202","","","","0"
"2018/2019","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","7470","","","","0"
"2019/2020","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","7919","","","","0"
"2020/2021","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","8060","","","","0"
"2021/2022","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427208","5.2","8347","","","","0"
"2012/2013","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","5742","","","","0"
"2013/2014","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","5913","","","","0"
"2014/2015","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","6179","","","","0"
"2015/2016","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","6319","","","","0"
"2016/2017","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","6665","","","","0"
"2017/2018","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","6927","","","","0"
"2018/2019","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","7060","","","","0"
"2019/2020","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","7266","","","","0"
"2020/2021","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","7390","","","","0"
"2021/2022","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427209","5.3","7618","","","","0"
"2012/2013","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","5721","","","","0"
"2013/2014","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","5891","","","","0"
"2014/2015","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","6135","","","","0"
"2015/2016","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","6268","","","","0"
"2016/2017","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","6580","","","","0"
"2017/2018","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","6807","","","","0"
"2018/2019","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","6981","","","","0"
"2019/2020","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","7335","","","","0"
"2020/2021","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","7591","","","","0"
"2021/2022","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427210","5.4","7853","","","","0"
"2012/2013","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","8331","","","","0"
"2013/2014","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","8376","","","","0"
"2014/2015","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","8646","","","","0"
"2015/2016","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","8693","","","","0"
"2016/2017","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","8913","","","","0"
"2017/2018","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","9168","","","","0"
"2018/2019","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","9364","","","","0"
"2019/2020","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","9854","","","","0"
"2020/2021","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","10291","","","","0"
"2021/2022","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427211","5.5","10964","","","","0"
"2012/2013","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","5941","","","","0"
"2013/2014","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","6109","","","","0"
"2014/2015","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","6294","","","","0"
"2015/2016","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","6315","","","","0"
"2016/2017","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","6653","","","","0"
"2017/2018","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","6855","","","","0"
"2018/2019","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","7195","","","","0"
"2019/2020","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","7823","","","","0"
"2020/2021","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","7991","","","","0"
"2021/2022","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427212","5.6","8142","","","","0"
"2012/2013","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","6286","","","","0"
"2013/2014","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","6425","","","","0"
"2014/2015","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","6649","","","","0"
"2015/2016","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","6622","","","","0"
"2016/2017","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","6957","","","","0"
"2017/2018","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","7107","","","","0"
"2018/2019","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","7267","","","","0"
"2019/2020","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","7610","","","","0"
"2020/2021","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","7768","","","","0"
"2021/2022","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427213","5.7","7995","","","","0"
"2012/2013","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","5887","","","","0"
"2013/2014","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6073","","","","0"
"2014/2015","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6255","","","","0"
"2015/2016","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6265","","","","0"
"2016/2017","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6550","","","","0"
"2017/2018","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6689","","","","0"
"2018/2019","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","6867","","","","0"
"2019/2020","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","7525","","","","0"
"2020/2021","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","7338","","","","0"
"2021/2022","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427214","5.8","7541","","","","0"
"2012/2013","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427215","5.9","6540","","","","0"
"2013/2014","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427215","5.9","6698","","","","0"
"2014/2015","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427215","5.9","6472","","","","0"
"2015/2016","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427215","5.9","6697","","","","0"
"2016/2017","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427215","5.9","7228","","","","0"
